userid	relevant_before	taskid	estimation	perceived_ratio
U0	True	2	SEG	-0.339597509868
U0	True	2	RAN	-0.114010463141
U0	True	2	REL	-0.292702251884
U0	True	2	SEG	-0.191266500004
U0	True	2	RAN	0.0206529079938
U0	True	2	REL	-0.314607941441
U0	True	2	SEG	-0.203624475419
U0	True	2	RAN	-0.0159655060304
U0	True	2	REL	-0.0303542434825
U0	True	2	SEG	-0.0552934655555
U0	True	2	RAN	0.118697865105
U0	True	2	REL	-0.0522599330391
U0	False	3	SEG	0.0912705532304
U0	False	3	RAN	-0.0325989284824
U0	False	3	REL	-0.135546897735
U0	False	3	SEG	0.0911681968399
U0	False	3	RAN	-0.0773992532378
U0	False	3	REL	-0.106346829273
U0	False	3	SEG	-0.105574868471
U0	False	3	RAN	-0.15757434987
U0	False	3	REL	-0.276134084595
U0	False	4	SEG	-0.070554431218
U0	False	4	RAN	-0.0312029050617
U0	False	4	REL	-0.147419769685
U0	False	4	SEG	-0.0904942551706
U0	False	4	RAN	0.0172672220248
U0	False	4	REL	-0.139184954791
U0	True	4	SEG	-0.159611839308
U0	True	4	RAN	-0.153170047241
U0	True	4	REL	-0.160187619899
U0	False	4	SEG	-0.179551663261
U0	False	4	RAN	-0.104699920154
U0	False	4	REL	-0.151952805005
U0	False	5	SEG	-0.015108552782
U0	False	5	RAN	0.165194839856
U0	False	5	REL	0.107670995718
U0	False	5	SEG	-0.0436734703964
U0	False	5	RAN	0.11384989391
U0	False	5	REL	-0.115524207155
U0	True	5	SEG	-0.0977408173623
U0	True	5	RAN	-0.035220460381
U0	True	5	REL	-0.00177252631342
U0	True	5	SEG	-0.126305734977
U0	True	5	RAN	-0.0865654063271
U0	True	5	REL	-0.224967729186
U1	False	2	SEG	0.575689101911
U1	False	2	RAN	1.29375401043
U1	False	2	REL	0.291520848759
U1	False	2	SEG	0.369460506236
U1	False	2	RAN	0.926644189203
U1	False	2	REL	0.513879778613
U1	True	2	SEG	0.134449847062
U1	True	2	RAN	0.523685196828
U1	True	2	REL	-0.21766408555
U1	True	2	SEG	-0.0717787486136
U1	True	2	RAN	0.156575375597
U1	True	2	REL	0.00469484430421
U1	False	3	SEG	0.0821589969017
U1	False	3	RAN	0.149918132739
U1	False	3	REL	-0.240042788833
U1	False	3	SEG	0.237452046624
U1	False	3	RAN	0.181947375312
U1	False	3	REL	0.181947375312
U1	False	3	SEG	-0.312210522793
U1	False	3	RAN	-0.17510130882
U1	False	3	REL	-0.233208939628
U1	False	3	SEG	-0.15691747307
U1	False	3	RAN	-0.143072066248
U1	False	3	REL	0.188781224517
U1	True	4	SEG	-0.393473301278
U1	True	4	RAN	0.000847242277233
U1	True	4	REL	-0.625405703453
U1	True	4	SEG	0.138577007831
U1	True	4	RAN	0.0134138648771
U1	True	4	REL	-0.68183195234
U1	True	4	SEG	-0.327883962789
U1	True	4	RAN	0.508170806024
U1	True	4	REL	0.0134745641878
U1	True	4	SEG	0.20416634632
U1	True	4	RAN	0.520737428624
U1	True	4	REL	-0.0429516846993
U1	False	5	SEG	0.331282596411
U1	False	5	RAN	1.08714120683
U1	False	5	REL	0.79612023311
U1	True	5	SEG	0.355558129032
U1	True	5	RAN	0.533061765213
U1	True	5	REL	0.367982014853
U1	True	5	SEG	-0.329336373111
U1	True	5	RAN	0.153766374838
U1	True	5	REL	0.0290146698656
U2	True	2	SEG	-0.511490607294
U2	True	2	RAN	-0.483396326398
U2	True	2	REL	-0.711873223687
U2	True	2	SEG	-0.527979123874
U2	True	2	RAN	-0.495065556542
U2	True	2	REL	-0.744744661482
U2	True	2	SEG	-0.491547068392
U2	True	2	RAN	-0.463810313421
U2	True	2	REL	-0.716806827885
U2	True	2	SEG	-0.508035584973
U2	True	2	RAN	-0.475479543565
U2	True	2	REL	-0.74967826568
U2	False	3	SEG	-0.0485239116717
U2	False	3	RAN	0.129396825562
U2	False	3	REL	-0.218585847133
U2	False	3	SEG	-0.301114212591
U2	False	3	RAN	-0.154123776049
U2	False	3	REL	-0.454478399754
U2	True	3	SEG	0.454427747434
U2	True	3	RAN	0.390555353742
U2	True	3	REL	0.130410846013
U2	True	3	SEG	0.201837446515
U2	True	3	RAN	0.107034752131
U2	True	3	REL	-0.105481706609
U2	False	4	SEG	-0.285627417938
U2	False	4	RAN	-0.0243321006595
U2	False	4	REL	-0.00631359515685
U2	False	4	SEG	-0.226402450398
U2	False	4	RAN	0.10430848198
U2	False	4	REL	0.2065873311
U2	False	4	SEG	-0.102450999494
U2	False	4	RAN	-0.124923855346
U2	False	4	REL	-0.0321818036476
U2	False	4	SEG	-0.043226031954
U2	False	4	RAN	0.00371672729316
U2	False	4	REL	0.18071912261
U2	False	5	SEG	0.458167704496
U2	False	5	RAN	0.734832519106
U2	False	5	REL	0.557844308287
U2	False	5	SEG	0.340118005404
U2	False	5	RAN	0.452508546943
U2	False	5	REL	0.248984782498
U2	True	5	SEG	0.325978503682
U2	True	5	RAN	0.491963641156
U2	True	5	REL	0.308502915832
U2	False	5	SEG	0.20792880459
U2	False	5	RAN	0.209639668993
U2	False	5	REL	-0.000356609956951
U3	False	2	SEG	-0.16612050161
U3	False	2	RAN	-0.0945284084261
U3	False	2	REL	-0.237028471033
U3	False	2	SEG	-0.00948487956109
U3	False	2	RAN	0.275597333237
U3	False	2	REL	0.15217341769
U3	False	2	SEG	-0.0316806850388
U3	False	2	RAN	0.107932934243
U3	False	2	REL	-0.0441365793807
U3	True	3	SEG	0.89611199876
U3	True	3	RAN	0.591591361946
U3	True	3	REL	0.517825211706
U3	True	3	SEG	-0.164569227334
U3	True	3	RAN	-0.250019638222
U3	True	3	REL	-0.115488745264
U3	True	3	SEG	0.446646856074
U3	True	3	RAN	0.415255471889
U3	True	3	REL	0.298977327412
U3	True	3	SEG	-0.614034370021
U3	True	3	RAN	-0.426355528279
U3	True	3	REL	-0.334336629558
U3	False	4	SEG	0.188833228889
U3	False	4	RAN	-0.163642968503
U3	False	4	REL	0.09860053031
U3	False	4	SEG	0.204729942805
U3	False	4	RAN	0.326711725007
U3	False	4	REL	0.625322867991
U3	True	4	SEG	0.00363643773228
U3	True	4	RAN	-0.457572233888
U3	True	4	REL	-0.167037092454
U3	True	4	SEG	0.0195331516475
U3	True	4	RAN	0.0327824596221
U3	True	4	REL	0.359685245227
U3	False	5	SEG	-0.169382374423
U3	False	5	RAN	-0.0702075112399
U3	False	5	REL	0.169683897376
U3	False	5	SEG	0.351071036042
U3	False	5	RAN	0.532356859963
U3	False	5	REL	0.763468580926
U3	True	5	SEG	-0.496660062959
U3	True	5	RAN	-0.334613500027
U3	True	5	REL	-0.0598348324107
U3	False	5	SEG	0.023793347506
U3	False	5	RAN	0.267950871176
U3	False	5	REL	0.53394985114
U4	False	2	SEG	0.180957102354
U4	False	2	RAN	0.131050696758
U4	False	2	REL	0.132834818551
U4	False	2	SEG	0.602723682576
U4	False	2	RAN	0.293995974589
U4	False	2	REL	0.354620596405
U4	False	2	SEG	-0.00468665164565
U4	False	2	RAN	-0.0966268356891
U4	False	2	REL	-0.0902268138436
U4	False	2	SEG	0.417079928576
U4	False	2	RAN	0.0663184421417
U4	False	2	REL	0.13155896401
U4	True	3	SEG	0.467648730916
U4	True	3	RAN	0.575107883231
U4	True	3	REL	0.624784135047
U4	True	3	SEG	-0.0753526582317
U4	True	3	RAN	-0.203207592851
U4	True	3	REL	-0.485468422491
U4	True	3	SEG	0.631019472273
U4	True	3	RAN	0.694592276291
U4	True	3	REL	0.700444749487
U4	True	3	SEG	0.0880180831255
U4	True	3	RAN	-0.0837231997913
U4	True	3	REL	-0.409807808051
U4	False	4	SEG	-0.355477418681
U4	False	4	RAN	-0.615760516945
U4	False	4	REL	-0.661932161212
U4	False	4	SEG	0.364806996449
U4	False	4	RAN	0.0982933484347
U4	False	4	REL	0.0521217041672
U4	True	4	SEG	0.218788857151
U4	True	4	RAN	-0.00319795603532
U4	True	4	REL	-0.0246769877124
U4	False	4	SEG	0.939073272281
U4	False	4	RAN	0.710855909344
U4	False	4	REL	0.689376877667
U4	False	5	SEG	0.929203655574
U4	False	5	RAN	0.56327931183
U4	False	5	REL	0.846990094505
U4	False	5	SEG	0.328819222101
U4	False	5	RAN	0.00729329194514
U4	False	5	REL	0.275736602489
U4	True	5	SEG	0.6989981267
U4	True	5	RAN	0.525271963246
U4	True	5	REL	0.783733783736
U4	True	5	SEG	0.0986136932265
U4	True	5	RAN	-0.0307140566391
U4	True	5	REL	0.212480291721
U5	False	2	SEG	-0.24167395684
U5	False	2	RAN	-0.20818777381
U5	False	2	REL	-0.469552537944
U5	False	2	SEG	-0.176927312182
U5	False	2	RAN	-0.683599745065
U5	False	2	REL	-0.452488024101
U5	True	2	SEG	-0.351871573191
U5	True	2	RAN	-0.240863121216
U5	True	2	REL	-0.434846617758
U5	True	2	SEG	-0.287124928533
U5	True	2	RAN	-0.716275092471
U5	True	2	REL	-0.417782103915
U5	False	4	SEG	-1.10423380594
U5	False	4	RAN	-1.0792917857
U5	False	4	REL	-1.00445480294
U5	False	4	SEG	-1.05779616185
U5	False	4	RAN	-1.00400598726
U5	False	4	REL	-1.12761994323
U5	True	4	SEG	-0.420585569547
U5	True	4	RAN	-0.159481502898
U5	True	4	REL	0.13427961563
U5	False	4	SEG	-0.374147925452
U5	False	4	RAN	-0.0841957044658
U5	False	4	REL	0.0111144753385
U5	False	5	SEG	0.700334519765
U5	False	5	RAN	0.0866144728368
U5	False	5	REL	-0.201067599615
U5	False	5	SEG	1.64873488066
U5	False	5	RAN	0.737382430428
U5	False	5	REL	0.0442352498679
U5	False	5	SEG	0.128811366698
U5	False	5	RAN	-0.53420607241
U5	False	5	REL	-0.787479365176
U5	False	5	SEG	1.07721172759
U5	False	5	RAN	0.116561885181
U5	False	5	REL	-0.542176515693
U6	False	2	SEG	0.880445185995
U6	False	2	RAN	0.878440507743
U6	False	2	REL	0.99176919305
U6	False	2	SEG	0.657578216136
U6	False	2	RAN	0.548290736861
U6	False	2	REL	0.654239314871
U6	False	2	SEG	0.659294402335
U6	False	2	RAN	0.707906906701
U6	False	2	REL	0.781389683461
U6	False	3	SEG	-0.0248408625847
U6	False	3	RAN	0.127760630256
U6	False	3	REL	0.0865176717216
U6	False	3	SEG	0.0323515920701
U6	False	3	RAN	0.0563357070885
U6	False	3	REL	0.140255891508
U6	True	3	SEG	-0.332022260344
U6	True	3	RAN	-0.142526743148
U6	True	3	REL	-0.249136478206
U6	False	3	SEG	-0.274829805689
U6	False	3	RAN	-0.213951666315
U6	False	3	REL	-0.195398258419
U6	False	4	SEG	0.262061228918
U6	False	4	RAN	0.204150312974
U6	False	4	REL	0.194138677559
U6	False	4	SEG	0.331964775014
U6	False	4	RAN	0.308611547995
U6	False	4	REL	0.322168658954
U6	False	4	SEG	0.215501584997
U6	False	4	RAN	0.200515713769
U6	False	4	REL	0.162467646132
U6	False	4	SEG	0.285405131093
U6	False	4	RAN	0.304976948791
U6	False	4	REL	0.290497627526
U6	True	5	SEG	0.159260651102
U6	True	5	RAN	0.0495429558072
U6	True	5	REL	0.159903912956
U6	True	5	SEG	0.129826150527
U6	True	5	RAN	0.163209298873
U6	True	5	REL	0.181762706769
U6	True	5	SEG	0.152509132337
U6	True	5	RAN	0.03692631759
U6	True	5	REL	0.0879118723229
U6	True	5	SEG	0.123074631762
U6	True	5	RAN	0.150592660656
U6	True	5	REL	0.109770666135
U7	False	2	SEG	0.0769541121136
U7	False	2	RAN	0.662197679828
U7	False	2	REL	0.61399557801
U7	False	2	SEG	0.136959122129
U7	False	2	RAN	0.205560680756
U7	False	2	REL	0.570203794344
U7	True	2	SEG	0.0123457024482
U7	True	2	RAN	0.434980803126
U7	True	2	REL	0.397952001907
U7	False	2	SEG	0.0723507124636
U7	False	2	RAN	-0.0216561959455
U7	False	2	REL	0.354160218241
U7	False	3	SEG	0.506507745415
U7	False	3	RAN	0.676134887921
U7	False	3	REL	0.702452196238
U7	False	3	SEG	0.584354447755
U7	False	3	RAN	1.00871950699
U7	False	3	REL	1.09776007378
U7	False	3	SEG	0.167554854573
U7	False	3	RAN	0.234504503345
U7	False	3	REL	0.443143368456
U7	False	4	SEG	0.0356120717889
U7	False	4	RAN	0.464305608131
U7	False	4	REL	0.428102559467
U7	False	4	SEG	0.233355926438
U7	False	4	RAN	0.630097862974
U7	False	4	REL	0.527203439811
U7	True	4	SEG	-0.00375234961855
U7	True	4	RAN	0.497753542199
U7	True	4	REL	0.450500657348
U7	True	4	SEG	0.193991505031
U7	True	4	RAN	0.663545797041
U7	True	4	REL	0.549601537692
U7	True	5	SEG	0.445371832577
U7	True	5	RAN	0.438316397624
U7	True	5	REL	0.443345746029
U7	True	5	SEG	0.134068305389
U7	True	5	RAN	0.111012529089
U7	True	5	REL	0.466902851567
U7	True	5	SEG	0.00531489734493
U7	True	5	RAN	0.0164726142156
U7	True	5	REL	-0.0651683502457
U7	True	5	SEG	-0.305988629843
U7	True	5	RAN	-0.310831254319
U7	True	5	REL	-0.0416112447067
U8	False	2	SEG	0.750343898827
U8	False	2	RAN	0.168071414613
U8	False	2	REL	-0.217591066199
U8	False	2	SEG	-0.00577748149384
U8	False	2	RAN	0.0594867035995
U8	False	2	REL	-0.0474623747434
U8	False	2	SEG	0.967638535966
U8	False	2	RAN	0.0931692989456
U8	False	2	REL	-0.301824509295
U8	False	2	SEG	0.211517155645
U8	False	2	RAN	-0.0154154120674
U8	False	2	REL	-0.131695817839
U8	False	3	SEG	0.112223528479
U8	False	3	RAN	0.117088238589
U8	False	3	REL	-0.0168341914624
U8	False	3	SEG	0.511605070923
U8	False	3	RAN	0.706489284923
U8	False	3	REL	0.499309584598
U8	True	3	SEG	-0.220118333012
U8	True	3	RAN	-0.250913803301
U8	True	3	REL	-0.361579371188
U8	True	3	SEG	0.179263209432
U8	True	3	RAN	0.338487243033
U8	True	3	REL	0.154564404872
U8	True	4	SEG	-0.348587148606
U8	True	4	RAN	-0.395686035458
U8	True	4	REL	-0.887248360149
U8	True	4	SEG	-0.20127843705
U8	True	4	RAN	-0.153761347527
U8	True	4	REL	-0.817173929144
U8	True	4	SEG	-0.731661170173
U8	True	4	RAN	-0.570184450254
U8	True	4	REL	-1.13289143076
U8	True	4	SEG	-0.584352458617
U8	True	4	RAN	-0.328259762323
U8	True	4	REL	-1.06281699975
U8	False	5	SEG	0.00759775363276
U8	False	5	RAN	0.154992643336
U8	False	5	REL	-0.294147528275
U8	False	5	SEG	-0.0673080781275
U8	False	5	RAN	0.280724980895
U8	False	5	REL	0.209461960873
U8	True	5	SEG	0.309289802046
U8	True	5	RAN	0.296430228984
U8	True	5	REL	-0.151983462391
U8	False	5	SEG	0.234383970286
U8	False	5	RAN	0.422162566543
U8	False	5	REL	0.351626026757
U9	False	2	SEG	0.398060160102
U9	False	2	RAN	0.461034959263
U9	False	2	REL	0.317934115622
U9	False	2	SEG	0.0527878482607
U9	False	2	RAN	0.318286911534
U9	False	2	REL	0.175186067893
U9	True	2	SEG	0.0182032065264
U9	True	2	RAN	0.258344334209
U9	True	2	REL	-0.158049844431
U9	True	2	SEG	-0.327069105315
U9	True	2	RAN	0.11559628648
U9	True	2	REL	-0.300797892161
U9	False	3	SEG	0.16412613603
U9	False	3	RAN	1.10254543041
U9	False	3	REL	-0.352741802192
U9	False	3	SEG	-0.370223569729
U9	False	3	RAN	0.333075982295
U9	False	3	REL	-0.246742512958
U9	False	3	SEG	-0.570591717961
U9	False	3	RAN	0.258643824354
U9	False	3	REL	-1.30997209356
U9	False	3	SEG	-1.10494142372
U9	False	3	RAN	-0.510825623766
U9	False	3	REL	-1.20397280433
U9	False	4	SEG	0.00342958510172
U9	False	4	RAN	-0.0996298409488
U9	False	4	REL	-0.615228743467
U9	False	4	SEG	0.169241332932
U9	False	4	RAN	0.810930216216
U9	False	4	REL	-0.703197516413
U9	True	4	SEG	0.743100047877
U9	True	4	RAN	0.624000356336
U9	True	4	REL	0.624000356336
U9	False	4	SEG	0.908911795707
U9	False	4	RAN	1.5345604135
U9	False	4	REL	0.53603158339
U9	True	5	SEG	0.163087634542
U9	True	5	RAN	1.11153547805
U9	True	5	REL	-0.0726346989794
U9	True	5	SEG	0.116105789129
U9	True	5	RAN	0.520667146611
U9	True	5	REL	-0.152677406653
U9	True	5	SEG	0.0589972821571
U9	True	5	RAN	0.602883768184
U9	True	5	REL	-0.0296387905596
U9	True	5	SEG	0.0120154367444
U9	True	5	RAN	0.0120154367444
U9	True	5	REL	-0.109681498233
U10	False	2	SEG	0.696124671143
U10	False	2	RAN	-0.177334015283
U10	False	2	REL	0.810321202799
U10	False	2	SEG	0.30464580501
U10	False	2	RAN	-0.400477566597
U10	False	2	REL	0.587177651485
U10	True	2	SEG	0.7396883267
U10	True	2	RAN	-0.203107524554
U10	True	2	REL	0.692980500003
U10	False	2	SEG	0.348209460567
U10	False	2	RAN	-0.426251075868
U10	False	2	REL	0.469836948689
U10	False	3	SEG	0.0098004122601
U10	False	3	RAN	-1.3316604988
U10	False	3	REL	-0.415369766927
U10	False	3	SEG	-0.0312413383318
U10	False	3	RAN	-0.298187512304
U10	False	3	REL	0.261428275631
U10	False	3	SEG	-0.0350767687903
U10	False	3	RAN	-1.70799331885
U10	False	3	REL	-0.651940644601
U10	False	3	SEG	-0.0761185193822
U10	False	3	RAN	-0.674520332353
U10	False	3	REL	0.0248573979578
U10	True	4	SEG	1.41226063042
U10	True	4	RAN	0.911546316258
U10	True	4	REL	1.54693466267
U10	True	4	SEG	3.09185218058
U10	True	4	RAN	2.72037433476
U10	True	4	REL	3.46271175951
U10	True	4	SEG	-0.0877654038617
U10	True	4	RAN	0.0139681153603
U10	True	4	REL	0.00891334469871
U10	True	4	SEG	1.5918261463
U10	True	4	RAN	1.82279613386
U10	True	4	REL	1.92469044154
U10	False	5	SEG	-0.0160432351187
U10	False	5	RAN	-0.341236040787
U10	False	5	REL	-0.564379592101
U10	False	5	SEG	-0.461281447726
U10	False	5	RAN	-0.10814215862
U10	False	5	REL	-1.02443289049
U10	True	5	SEG	-0.256621510964
U10	True	5	RAN	-0.512477151804
U10	True	5	REL	-0.657659161649
U10	True	5	SEG	-0.701859723572
U10	True	5	RAN	-0.279383269637
U10	True	5	REL	-1.11771246004
U11	False	2	SEG	0.206385196923
U11	False	2	RAN	0.274762494368
U11	False	2	REL	0.243579566931
U11	False	2	SEG	0.27466670434
U11	False	2	RAN	0.406171753819
U11	False	2	REL	0.306984097268
U11	True	2	SEG	0.304011576679
U11	True	2	RAN	0.186816603374
U11	True	2	REL	0.23284242577
U11	True	2	SEG	0.372293084096
U11	True	2	RAN	0.318225862825
U11	True	2	REL	0.296246956107
U11	False	3	SEG	-0.3852872209
U11	False	3	RAN	-0.234958674138
U11	False	3	REL	-0.429352812166
U11	True	3	SEG	0.0274714678177
U11	True	3	RAN	-0.199447453719
U11	True	3	REL	-0.066599354596
U11	True	3	SEG	-0.309907897621
U11	True	3	RAN	-0.253347510311
U11	True	3	REL	-0.261412070148
U11	False	4	SEG	0.0405200621508
U11	False	4	RAN	0.102180573851
U11	False	4	REL	0.0128051295668
U11	False	4	SEG	0.658860702593
U11	False	4	RAN	0.357275724972
U11	False	4	REL	0.326652864758
U11	True	4	SEG	-0.120410304662
U11	True	4	RAN	0.026408015379
U11	True	4	REL	0.193462100042
U11	False	4	SEG	0.49793033578
U11	False	4	RAN	0.2815031665
U11	False	4	REL	0.507309835233
U11	False	5	SEG	0.110626275513
U11	False	5	RAN	0.29936568916
U11	False	5	REL	0.111216500496
U11	False	5	SEG	-0.165522839419
U11	False	5	RAN	0.337106017143
U11	False	5	REL	0.216742334893
U11	False	5	SEG	0.0370155016136
U11	False	5	RAN	0.14545497286
U11	False	5	REL	0.14545497286
U11	False	5	SEG	-0.239133613318
U11	False	5	RAN	0.183195300843
U11	False	5	REL	0.250980807257
U12	True	2	SEG	-0.587643306003
U12	True	2	RAN	-0.434315332927
U12	True	2	REL	-0.399579568675
U12	True	2	SEG	-0.397648033358
U12	True	2	RAN	-0.382722383141
